system,sr_no,id,code,term,short_definition,long_definition,reference,ontology_branches
Unani,1,0,O-6,Rutubat Gharziyya,Innate humour,"The moistness of an organ which remains in equilibrium, qualitatively and quantitatively, in accordance to the temperament of that organ.",,
Unani,2,1,UM,Unani Medicine,,,,","
Unani,3,2,UM-DIS,Disorders,,,,","
Unani,4,3,A,Amrad-i-Nizam-i-Asab-o-Dimagh,Diseases of Nervous System,,,",,"
Unani,5,4,A-1,Bayda-o-Khudha,Organic headache/Helmet headache,A severe type of chronic headache which involves the whole head. The patient feels that someone is hammering his head. Most of the physicians are of the view that both these types are same but Daud Antaki differentiates them by the site of pain as Bayda is a headache which occurs in the central part of head while Khudha is a headache which is experienced on the periphery of head.,,
Unani,6,5,A-2,Shaqiqa,Migraine,A type of severe headache which involves one half of head whether it is right or left. It is an episodic type of pain accompanied with nausea and vomiting.,,
Unani,7,6,A-2.1,Shaqiqa Harra,Acute migraine,A type of migraine which is caused by predominance of Safra (yellow bile) and Dam (blood/sanguine) in the body.,,
Unani,8,7,A-2.2,Shaqiqa Barida,Chronic migraine,A type of migraine which is caused by predominance of Balgham (phlegm) and Sawda (black bile) in the body.,,
Unani,9,8,A-3,Isaba,Frontal headache,It is a type of severe headache which occurs on the forehead above the eyebrow. It can involve either sides or both sides. The intensity of pain gradually reduces with the sunset.,,
Unani,10,9,A-4,Hiss-i-Dimagh,sensation of itching in brain,,,",,"
Unani,11,10,A-5,Sarsam,Meningitis,The inflammation of meninges of brain or brain itself.,,
Unani,12,11,A-5.1,Sarsam Damawi/ Qaranitus,Acute meningitis,The inflammation of meninges of brain due to predominance of Dam (blood/sanguine).,,
Unani,13,12,A-5.2,Sarsam Safrawi/ Qaranitus Khalis,Bilious meningitis,The inflammation of meninges of brain due to predominance of Safra (yellow bile).,,
Unani,14,13,A-5.3,Sarsam Sawdawi,Melancholic meningitis,The inflammation of meninges of brain due to predominance of Sawda (black bile).,,
Unani,15,14,A-5.4,Sarsam Balghami/ Lithargus,Phlegmatic meningitis,The inflammation of meninges of brain due to predominance of Balgham (phlegm).,,
Unani,16,15,A-5.5,Sarsam Haqiqi,inflammation of brain or its meninges,The inflammation of meninges or tissues of brain.,,
Unani,17,16,A-5.6,Sarsam Ghayr Haqiqi,Meningismus,"In this condition, symptom of Sarsam (meningitis) occurs without any inflammatory changes in the brain. This is caused by other reason e.g. accumulation of Bukharat (gases) in the brain.",,
Unani,18,17,A-6,Falghamuni Dimaghi,Phlegmon,A type of acute inflammation of brain tissues caused by accumulation of putrified blood in the brain.,,
Unani,19,18,A-7,Shafqalus Dimaghi,inflammation of vessels of brain,A type of inflammation of the vessels of brain caused by the accumulation of Muhtariq Dam (burnt blood/sanguine) in the vessels.,,
Unani,20,19,A-8,Humra Dimaghiyya,Cerebral congestion,A type of inflammation of brain tissues caused by the accumulation of Muhtariq Sawda (burnt black bile) or sanguine mixed with Safra (yellow bile) in the brain.,,
Unani,21,20,A-9,Utash,sub acute inflammation of brain,"Literal meaning of Utash is excessive thirst. It is a disease which occurs commonly in children. In Unani System of Medicine, it is considered to be a sub acute type of inflammation of brain in which the child experiences an increased thirst.",,
