system,sr_no,id,code,term,short_definition,long_definition,reference,ontology_branches
Ayurveda,1,1,AYU,vyAdhi-viniScayaH,,,,
Ayurveda,2,2,DIS,vikAraH,,,,
Ayurveda,3,3,A,doShavaiShamyam,,,,
Ayurveda,4,4,AA,vAtavyAdhiH,,,,
Ayurveda,5,5,AAA,doShAvasthA (vAta),,,,
Ayurveda,6,6,SR11 (AAA-1),vAtasa~jcayaH,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold.","It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",,
Ayurveda,7,7,SR12 (AAA-2),vAtavRuddhiH,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools.","It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",,
Ayurveda,8,8,SR10  (AAA-2.1),vAtaprakopaH,It is characterized by abdominal pain and increased gaseous movements in abdomen.,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,,
Ayurveda,9,9,AAA-2.2,prANavAtakopaH,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz.","the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",,
Ayurveda,10,10,AAA-2.3,udAnavAtakopaH,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]","the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]",,
Ayurveda,11,11,AAA-2.4,vyAnavAtakopaH,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]","the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",,
Ayurveda,12,12,AAA-2.5,samAnavAtakopaH,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]","the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]",,
Ayurveda,13,13,AAA-2.6,apAnavAtakopaH,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]","the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]",,
Ayurveda,14,14,SR13(AAA-3),vAtaprasaraNam,"It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen.","It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.",,
Ayurveda,15,15,SR14 (AAA-4),vAtakShayaH,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness.","It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",,
Ayurveda,16,16,AAB,nAnAtmajavAtavikAraH,,,,
Ayurveda,17,17,SQ00 (AAB-1),atipralApaH (kEvalavAta),"It is characterised by irrelevant and irrational talk, mental confusion.","It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",,
Ayurveda,18,18,SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),"It is characterised by difficulty to concentrate, fickleness, confusion.","It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",,
Ayurveda,19,19,AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),,,,
Ayurveda,20,20,AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),,,,
Ayurveda,21,21,SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),"It is characterised by atony or flaccidity of the joints, muscles and body parts.","It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",,
Ayurveda,22,22,AAB-6,arditaH (kEvalavAta),,,,
